title,rank,report
동갑내기 과외하기 레슨 2,10,연출과스토리가너무좋았다
스파이더맨 2,10,샘스파 시리즈를 인생최고 영화라고 꼽고 싶다마지막에 엠제이가 왔을땐 정말 울뻔
아바타: 물의 길,7,솔까 앤딩이 너무 디즈니스럽다. 
아바타: 물의 길,10,
페르시아어 수업,10,넷플에서 서비스하면 더 유명해질거같음. 상영관이 적은게 아쉬울따름
벚꽃 같은 나의 연인,10,벚꽃같은 사랑 잘 봤습니다...너무 재밌게 잘 본 영화 였습니다
아바타: 물의 길,2,3시간 영화 시간 넘 길었고 아바타 배경이 물로 바뀌었음  
아바타: 물의 길,10,2d로봤습니다 맨앞줄요 cam으로 보는줄ㄷ무한츠크요미마다라센세 당신의 꿈이 진짜였어ㄷ
스파이더맨,10,스파이더맨은 이게 맞다 내 히어로
굿 윌 헌팅,10,진짜 몇번봐도 명작이다..
검우강호,10,갸끔가다 무협영화 하면 생각나는 영화. 요즘 중국영화는  왜  이런작품이 안나오는지 모르겠네. 그냥 주인공 얼굴만 아이돌 처럼하고 연기어색.연출개판.cg왕창하니 무협영화보는 즐거움이 없어.
탄생,10,"조선 헌종 즈음 동아시아를 둘러싼 제국주의 분위기를 잘 그렸고 마카오, 책문 등 바다 근처 이색 볼거리가 가득합니다 주연 조연 배우들 연기도 훌륭하고 종교영화치고 재미와 감동 둘다 있는 경우 드문데 잘봤네요"
아바타: 물의 길,10,"아이맥스 쓰리디로 관람했습니다~ 영상미 끝내주고여, 영화가 길긴하지만 중간중간 마다 긴장감을 주기에 시간 후딱 갑니다~ 후반부에 편집이 조금 타이트하게 진행됐으면 10점 넘게 드리고 싶네요 ㅎㅎ 10점 만점 드리겠습니다"
아바타: 물의 길,10,왜 애먼 다른부족들한테 민폐를 끼치는지;;그래두 영상자체로 힐링을 주는 영화라 전 기대보다 좋았습니다~ 
헤어질 결심,10,"연출, 소품, 탄탄한 스토리와 배우들의 연기까지 올해 최고의 영화라고 생각함.불륜 미화인것도 맞지만 영화이기에 그만큼 예술적임."
아바타: 물의 길,10,진짜 재밌어요 cg도 대박적
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",10,난 좋았음 소설을 읽어서 그런지 내용이해에는 별 문제가 없었지만 소설을 안 읽었으면 조금 힘들었을듯. 특히 마지막 전개부분에서 급전개가 심했음. 근데 일단 난 울어버림 ㅠㅠㅠ 내 취향 듬뿍 인생작??
아바타: 물의 길,10,"아바타 1보다 2가 더 재밌다고 엄마랑 극찬하면서 나왔어요ㅠㅠ 감동도 재미도 있고 영상미, 기술 감탄스러웠네요 3시간이 어떻게 갔는지 몰랐어요"
아바타: 물의 길,8,3시간 지루한감이 있네요. 2시간으로  좀더 진행을 빨리했어도 됐을텐데요. 
아바타: 물의 길,10,원래 시즌2 나오면 막 기대가 덜한데 진짜 이건 시즌1을 뛰어넘는 대작이다 
아바타: 물의 길,10,"기대에 부응하는 영화,3시간 같지 않은 영화"
아바타: 물의 길,10,
헌트,10,
비상선언,5,마무리를 다르게했다면 망작이란 얘기를 들었을까.. 배우분들 천만얘기..  5분의 1은 갔네요..
창밖은 겨울,10,잔잔한 따뜻함이 좋았고 치열한 호흡의 탁구시합이 백미였어요 ㅋㅋ 
아바타: 물의 길,7,영화가 아닌 다큐멘터리 보는 느낌
아바타: 물의 길,10,진짜 내 인생작... 이 정도의 영화는 지금까지 없었다
아바타: 물의 길,6,길다 밋밋 하다 기대 이하
올빼미,10,정말굉장히 미친 영화입니다 
아바타: 물의 길,8,"기대를 하지 않으면, 괜찮습니다. 영상미가 우수해서 아쿠아리움 다녀온 기분이에요. 하지만 스토리는 지루하고 감동적이지도 않아요."
아바타: 물의 길,8,초반에 살짝 졸림...그러다....물 나오면서 잠이 확깸~~~ 매불쇼에서 엄청까던데....글쎄...솔직히 스토리는 ..모르겠지만 ...영상은 거의 실사와 같은 느낌???
아바타: 물의 길,10,연출 그래픽이 너무 좋았어요
아바타: 물의 길,10,천재감독 제임스카메론아바타2 역시 실망시키지 않네요~예전 터미네이터2와 타이타닉같은 멋진 작품을 더 보고싶어요~~
아바타: 물의 길,10,3시간이 아깝지않음요
아바타: 물의 길,8,영화는  좋은데   화장실은  가야한다는 ㅜㅜ
아바타: 물의 길,5,솔직히 재미없었음... 댓글 다 알바인가 ㅋㅋ
탑건: 매버릭,10,제발 재개봉… 극장에서 봤던 감동이 잊혀지질 않는다
아바타: 물의 길,10,3시간짜리가 30분인줄..시간가는줄 모르고 집중하면서 보게되네..
아바타: 물의 길,10,3시간이 훌쩍 지나갔어요!
우는 남자,10,스케일 연출 다 좋음. 다들 영화 아저씨와 비겨하며 씹는데... 배우 장동건은 연기 잘했음... 단지 영화 아저씨는 어이를 살려야하는 목적이 끝까지 살아 있었고. 영화 우는 남자는 죽은 아이의 죄책감과 자신의 불우했던 과거의 조합이 좀 억지였던 시나리오가 망함... 다른 건 다 아저씨보다 스케일도 크고 괜찮았음
아바타: 물의 길,8,오스카 위너 케이트 윈슬렛이 출연한 티도 안나는데 개고생하며 찍은 이유를 모르겠음....자신을 스타로 만들어준 감독에 대한 보은의 의미 말고는 납득이 안됨.
아바타: 물의 길,10,너무??????????????????????
아바타: 물의 길,10,재밌슴
아바타: 물의 길,10,
아바타: 물의 길,8,훌륭하게만들어졌지만.  더 이상은 아님3.4.5만들어는게 조금 걱정스러움 원주민싸움이장소만 바뀌어서 이제 식상함
올빼미,10,배우들 연기 너무잘해요. 영화재밌음
미녀는 괴로워,10,
데이 시프트,9,오밤중에 친구랑 맥주에 팝콘 먹으면서 보라고 권함.처음엔 아...B급...이라면서 보다 보면 흥미로운 A급어떤 사람은 뒤로 갈 수록 X판이라고 하는데개인적으로 뒤로 갈 수록 &amp;#39;스토리는 보이지만 보는 맛&amp;#39;이 있었음.
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",10,내일에 마오리도 내가 즐겁게 해줄거야. 
아바타: 물의 길,10,3시간이 지루할 틈이 없다
아바타: 물의 길,2,무차별한 생명학살이 왜 12세 관람가인지 모르겠다. 청소년관림불갏 적합한 영화. 잔혹한 학살이 굉장히 긴 시간 지속됨.  미리 알았더라면 가족들이랑 안좠을 잔인한 영화.... 화려한 영상미의 감동이 기억나지않을정도
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",8,남주개잘생김ㅋ개꿀딱
아바타: 물의 길,9,재밌네요 돈주고 볼만해요 !!
승리호,9,솔찍히 기대를 안하고 봤음영상미나 스토리가 엄청 허접할줄 알았는데 생각보다 좋았음요요즘 한국영화나 드라마가 화려한씬이 나오는건 스토리중심보단 씬중심으로 스토리를 억지로 끼어 넣은듯해서 매우 마음에 안들었는데 영화에 집중할수 있게 스토리가 자연스러웠음요헐리웃에서 만드는 cg는 아니지만 그보다 훨씬 적은 제작비로 훌륭했고 무엇보다 스토리가 자연스러운게 좋았음어제 사막의 왕보고 양동근딸로 나온 아역배우가 연기도 좋고 지금까지 본 아역배우중 가장 호감이 갔었는데 승리호에 꽃님이가 동일인인거 보고 너무 놀람 정말 기대되는 배우 
보이저스,10,가만히 죠용히 보니 수작이네
나나,7,감정의 변화 뒤에는 무수히 많은 고통이 있었기에..
어바웃 어 보이,10,이 영화를 왜 이제 봤을까?재미있고 사랑스럽다.
